StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Greenwich St & W Houston St,-3,-11,1,-5,-2,-4,8,-7,-1,-2,9,6,11,10,8,8,-2,-3,6,-2,2,-10,10,0,41,35,37,35,26,34,40,48,37,38,29,44,31,42,40,36,38,39,48,42,30,34,28,32
LaGuardia Pl & W 3 St,4,-11,9,-6,8,-1,-2,-2,5,-14,0,-4,0,3,0,6,3,-4,-2,2,1,6,4,6,36,45,37,36,38,25,40,30,25,48,43,32,50,27,29,41,46,36,34,44,42,26,40,40
Stanton St & Chrystie St,-8,-5,1,-11,-2,10,-7,1,-4,-6,2,-1,-2,6,-2,9,5,-2,4,-6,-1,-1,5,-8,23,25,13,20,16,22,20,19,28,30,16,21,16,22,24,17,13,32,20,18,19,21,21,28
Pershing Square North,-3,17,-17,-5,6,-11,5,2,0,9,2,-19,6,-2,5,-8,-8,-2,-21,-7,1,-12,8,8,99,79,89,100,83,78,77,74,110,109,82,102,114,86,109,94,86,112,99,81,95,101,86,86
Washington Pl & Broadway,3,-7,5,-3,4,-4,1,-6,1,14,4,0,9,1,-3,3,2,-5,10,4,3,-5,1,-3,35,33,41,26,32,26,34,24,45,30,32,20,33,31,37,33,44,27,46,33,45,47,29,43
Fulton St & Broadway,-5,1,-3,4,0,-2,2,5,-6,-3,-1,5,6,-2,-1,2,1,4,0,0,1,-5,4,0,25,17,13,10,12,11,16,9,12,19,15,11,10,17,11,16,13,14,12,20,11,15,14,18
Broadway & W 49 St,0,1,2,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,-1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,1,0,1,0,2,0,0,4,3,1,1,3,1,1
Leonard St & Church St,0,5,0,-4,2,0,1,5,-1,1,-7,-6,4,-4,3,5,-2,0,-2,-4,-3,2,-1,0,14,11,14,14,14,20,19,17,17,7,13,12,18,12,17,19,10,18,8,20,19,16,11,16
Peck Slip & Front St,13,-5,-2,-3,6,-6,0,9,-3,-1,1,2,-4,3,0,2,2,2,8,-5,5,5,-6,-6,30,17,10,13,17,18,21,18,25,15,18,13,22,9,12,8,20,11,18,34,11,23,16,20
W 53 St & 10 Ave,-7,0,-3,3,3,1,-1,8,-6,2,2,2,4,1,-6,-2,-4,3,-3,-6,2,-2,4,-4,23,12,19,15,21,17,12,24,20,14,24,16,18,21,21,12,19,19,21,28,14,10,14,22
8 Ave & W 33 St,1,5,8,15,20,-6,-2,-1,-4,1,-9,-8,-2,2,4,-1,3,-20,-5,-13,-8,-7,8,0,41,47,53,45,48,38,34,53,46,37,63,34,30,54,57,51,40,58,47,49,62,57,58,54
E 6 St & Avenue D,-1,5,4,3,0,3,2,-3,0,-2,4,1,2,1,-1,-1,-2,8,-5,-2,-4,-1,-9,-2,11,11,6,7,10,5,6,7,6,8,8,8,4,7,3,3,6,10,9,12,10,7,15,8
E 2 St & Avenue C,-1,-1,-1,2,2,-2,2,0,2,9,-2,-4,-1,3,1,-2,3,0,-3,0,5,-1,9,-4,17,15,15,8,6,20,10,8,14,17,8,14,15,7,11,6,5,12,15,10,13,14,13,12
Broadway & W 51 St,-5,-13,7,-8,10,-3,-4,0,-6,-5,-4,-13,-6,-7,-3,-6,1,-13,-11,-6,-2,-6,-2,-6,37,39,22,30,45,38,30,42,40,39,32,41,32,37,44,33,29,29,47,32,29,32,40,35
E 19 St & 3 Ave,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1
St Marks Pl & 1 Ave,9,3,3,1,0,3,-4,-6,4,11,-12,-2,-16,4,-3,-3,-6,1,-4,2,-3,1,-1,-1,19,17,11,11,18,17,20,28,28,23,29,16,24,20,21,23,26,21,16,25,19,19,24,23
Catherine St & Monroe St,-3,-1,-6,-1,1,2,4,-2,-2,-1,3,4,2,5,2,5,-1,3,5,2,2,-4,-1,1,17,8,10,7,11,13,12,6,11,15,15,10,6,7,8,9,5,9,9,8,8,8,7,9
Centre St & Worth St,5,-6,2,-4,-1,1,-2,-6,-1,3,2,6,-10,-3,-4,4,-5,1,-7,-3,-2,-4,0,2,19,14,18,16,13,9,14,16,7,15,22,20,20,9,12,8,15,19,19,13,10,18,20,12
E 72 St & Park Ave,1,-4,-2,1,-5,4,-1,-2,2,-2,-2,8,-6,0,2,-8,-2,-5,-3,2,2,-2,-10,-2,13,14,12,11,9,12,15,16,12,12,14,10,18,8,16,12,16,11,11,8,9,14,14,10
Suffolk St & Stanton St,4,-1,-1,-2,-1,5,-6,-7,0,1,3,8,1,-5,-2,6,4,-8,8,2,-2,-11,-7,0,21,19,23,26,25,25,26,28,30,21,19,16,19,25,22,22,26,22,26,16,26,29,28,26
Columbus Ave & W 72 St,-3,-2,-1,0,8,-3,-1,6,-2,-2,-4,-4,2,-3,-2,-1,-1,5,3,4,-2,-2,-2,3,13,10,19,16,24,25,17,18,16,19,14,15,21,21,18,19,13,17,28,16,10,16,12,17
Broadway & W 55 St,-2,-11,9,-1,-17,-1,1,-11,-6,-3,3,-6,4,-1,4,4,7,-1,3,-6,-4,1,-8,-11,28,27,27,27,39,28,29,39,25,24,21,24,19,35,30,36,27,21,44,34,32,23,34,40
E 17 St & Broadway,0,31,16,4,12,-11,-6,-3,-6,-2,12,-6,7,-3,6,6,-1,-1,0,-5,-8,1,2,0,66,69,62,71,52,46,65,74,52,48,62,42,59,61,40,52,57,61,62,70,65,52,50,56
S 4 St & Rodney St,0,-1,2,1,0,0,-1,1,0,-1,0,1,0,0,0,0,-2,-2,0,0,0,-2,3,2,0,3,2,1,0,0,1,1,0,1,0,3,2,0,2,0,4,2,2,2,0,2,3,2
1 Ave & E 78 St,4,-3,1,-2,3,-4,3,-2,-4,6,-3,2,2,-1,-3,1,-1,4,4,1,-7,-3,2,10,16,17,19,14,17,14,19,14,24,20,18,18,18,17,21,25,23,22,22,24,9,26,12,27
Carmine St & 6 Ave,-2,3,-12,1,1,-5,-9,-20,-5,-1,5,9,1,4,0,-11,12,7,5,8,-4,12,-2,-5,44,53,50,42,43,39,55,54,50,43,49,43,42,64,42,57,54,57,62,40,56,38,44,51
Central Park West & W 68 St,-2,-2,-3,-1,0,-8,-14,-5,-2,-8,4,2,-3,-4,-1,-2,9,-3,-4,-5,0,6,0,0,10,8,11,10,12,21,19,17,14,20,23,14,18,16,20,16,15,19,12,27,22,14,16,15
W 49 St & 8 Ave,-4,11,-8,-3,-7,3,0,-6,3,-6,-2,3,-7,0,-4,10,-7,-7,2,5,-9,0,8,-5,32,43,30,36,23,31,28,31,38,32,39,33,38,34,42,49,39,28,32,35,25,38,30,33
E 10 St & 5 Ave,13,5,-3,5,2,1,0,-3,9,4,4,4,-2,-1,-4,8,5,-3,0,4,0,-2,-2,-2,31,23,23,21,26,33,26,28,29,30,40,38,30,31,26,28,17,23,24,18,28,27,23,30
Allen St & Hester St,7,3,-12,5,3,-11,9,-1,4,5,6,7,0,1,14,2,0,-3,4,0,4,4,-3,1,23,21,18,15,19,29,22,21,26,21,24,19,26,15,24,14,26,17,17,18,22,20,11,15
Montrose Ave & Bushwick Ave,-1,-3,-2,5,0,0,5,1,-2,-2,1,0,-2,0,-4,2,4,3,3,-3,0,0,-3,1,5,5,6,7,2,8,5,3,2,2,5,2,2,2,6,6,5,5,5,7,2,6,3,9
W 52 St & 5 Ave,21,14,5,22,15,20,10,17,17,29,12,20,14,14,12,19,14,5,13,14,11,11,19,26,45,32,33,34,27,37,30,34,37,47,26,30,42,40,34,35,34,24,31,32,31,41,23,34
W Broadway & Spring St,-1,-9,-6,-2,1,-7,14,14,2,4,6,-7,-2,4,5,3,7,11,2,10,17,9,-7,6,38,38,37,32,33,43,38,46,34,40,35,52,34,36,45,45,51,35,46,43,41,40,31,46
Central Park West & W 76 St,3,2,2,9,7,-1,-3,-6,2,4,-1,-8,-3,3,1,5,-6,-4,5,-2,-9,-10,-6,-4,21,19,10,17,15,17,17,10,18,26,14,24,13,19,13,19,10,27,21,17,27,15,16,17
E 85 St & York Ave,4,0,7,10,6,4,11,8,3,-4,4,-2,1,3,12,5,0,0,4,-5,5,-1,7,8,28,21,28,12,15,18,19,23,13,30,25,22,13,19,22,22,26,28,24,20,21,25,27,14
Allen St & Rivington St,0,-5,7,2,2,-4,-1,-5,6,3,3,2,4,2,1,6,-6,-3,3,1,1,0,3,0,34,23,32,18,27,33,24,21,38,32,23,29,30,30,15,24,22,35,23,29,25,24,19,23
Rivington St & Chrystie St,3,5,-3,1,1,5,-4,4,-2,-1,9,-2,2,-2,3,-1,2,-5,2,3,-2,-1,4,-8,14,9,15,11,11,17,16,12,12,13,21,12,12,14,12,17,24,15,18,11,14,15,16,18
Mott St & Prince St,16,7,-2,-3,1,-7,-4,3,-1,-4,-2,-5,-11,11,-6,-2,-10,-5,-2,-3,-2,6,0,-6,30,25,34,29,31,23,35,27,31,28,24,35,26,35,26,29,32,25,30,29,25,33,26,23
W 13 St & 5 Ave,-3,0,-4,-8,1,-5,-5,-6,-7,0,4,-2,7,5,2,9,9,6,11,7,-1,2,1,0,27,26,30,34,29,33,31,36,25,36,30,28,30,27,21,32,21,26,23,31,30,30,27,29
Broadway & W 53 St,0,3,-5,2,-8,-6,2,-6,-5,8,-2,-2,2,-2,8,5,7,-1,-3,1,4,8,5,2,20,17,13,28,30,25,18,14,34,33,22,22,14,27,24,20,25,15,23,21,34,24,23,20
Cadman Plaza E & Red Cross Pl,-2,-4,-3,-1,-2,3,0,0,0,-1,0,3,0,-1,0,0,1,-5,-8,0,-1,0,0,2,4,6,5,7,11,8,4,6,6,11,16,5,8,7,14,8,8,10,9,10,7,10,6,10
N 8 St & Driggs Ave,-2,9,1,-3,0,4,2,2,3,5,-4,2,7,-2,0,2,4,-8,-2,7,1,-2,-1,4,8,11,21,21,10,12,14,14,7,11,16,10,19,10,10,18,12,18,12,17,15,14,18,12
N Henry St & Richardson St,1,1,0,-1,-2,3,-2,2,0,3,-2,-2,0,3,-1,2,-1,2,2,-2,-3,0,3,-1,4,3,0,5,4,3,2,2,2,5,4,6,0,5,9,4,5,6,4,4,5,4,5,5
N 12 St & Bedford Ave,-1,0,-2,-4,2,-2,6,2,-4,1,4,-1,-2,3,3,1,-7,-3,0,1,0,0,-2,2,5,4,2,4,2,4,8,4,8,5,7,11,8,7,9,7,9,3,8,5,2,10,4,4
Cleveland Pl & Spring St,4,-14,-13,-3,5,10,3,-4,4,-1,0,9,-5,-6,-4,-9,-1,2,1,5,-8,8,-7,4,44,38,51,40,51,44,32,30,56,53,31,45,36,44,58,61,47,44,52,49,40,42,53,43
Fulton St & William St,-3,-3,3,4,1,-4,4,-2,6,0,2,-1,3,4,1,5,3,2,-6,-3,0,-1,-3,3,15,13,11,14,21,16,22,16,14,14,16,15,13,10,16,15,6,14,12,12,16,17,9,11
Greenwich Ave & Charles St,0,-5,-3,-4,2,1,3,8,3,4,-5,-9,5,-1,-9,7,-10,3,10,-2,-1,-8,4,3,24,23,26,20,22,21,23,20,20,25,19,25,15,22,25,21,28,23,28,21,19,26,29,21
E 55 St & Lexington Ave,3,2,-2,0,1,4,-10,1,-3,3,-6,-5,2,-4,6,3,-2,3,0,-3,-2,-7,-2,2,9,16,12,12,13,12,18,17,19,13,14,13,8,17,12,10,10,11,16,9,8,9,6,10
E 11 St & 2 Ave,2,-7,1,-7,0,-2,2,7,3,4,-6,2,-5,-4,-2,-8,4,-1,5,6,6,-1,-5,-4,18,25,25,25,27,24,26,25,22,18,32,16,23,21,24,30,25,23,28,26,29,27,29,27
Madison St & Montgomery St,-2,-3,4,2,-3,4,1,5,3,-2,-2,-3,-4,-1,-2,5,2,-1,5,-2,-1,1,0,-1,8,7,6,6,3,10,3,7,13,4,4,11,6,9,6,7,6,9,9,8,5,5,4,3
Avenue D & E 3 St,5,0,-2,3,4,-1,2,1,-1,-2,3,5,1,-5,1,2,-1,-2,-1,4,0,6,0,2,7,4,10,7,8,19,8,9,5,8,5,11,7,7,7,8,13,8,9,14,4,18,10,10
Broadway & E 14 St,-1,-3,0,7,-13,5,-15,2,10,13,4,9,4,-10,3,-8,8,14,11,2,-8,2,-7,0,56,52,35,57,71,61,55,51,49,61,58,58,56,42,55,42,61,58,59,56,59,51,61,50
1 Ave & E 18 St,-7,3,-2,0,-2,1,-2,-1,5,6,10,1,-4,11,2,-4,2,2,-12,-9,-2,-2,3,1,19,17,20,28,28,17,22,17,19,22,26,23,29,27,21,24,18,16,32,21,26,28,15,13
2 Ave & E 31 St,0,-2,-7,-2,1,1,0,-1,4,-9,-9,-1,-5,-4,6,3,-6,-1,-7,-2,-3,0,1,0,29,24,20,20,17,19,22,27,18,27,25,19,23,22,18,21,16,31,23,30,25,23,29,16
W 13 St & 6 Ave,1,-3,-2,3,3,10,-10,-1,-1,-12,-1,-6,-3,-2,11,1,7,4,-4,-14,-1,3,-4,3,25,35,32,51,24,22,36,41,36,45,39,28,39,40,29,29,31,26,40,38,36,33,40,42
Lexington Ave & E 29 St,6,-7,-1,9,0,-3,-4,-2,5,1,-7,12,0,-3,12,1,3,1,11,3,-2,-3,3,-3,26,27,31,15,36,27,28,24,23,44,42,39,28,27,32,21,37,31,25,39,26,35,43,27
W 70 St & Amsterdam Ave,-1,-8,2,-7,7,-1,1,-1,-1,-2,-8,-1,-4,-11,-1,-13,1,2,-6,3,-2,-5,-4,5,9,17,10,13,23,18,17,18,11,16,22,15,16,19,21,19,15,14,22,13,22,23,16,13
E 67 St & Park Ave,-4,-7,0,-8,-1,0,1,2,0,3,8,3,0,-2,-4,3,2,3,6,-2,-2,-7,-8,-1,20,21,20,24,19,12,15,20,18,15,10,19,28,16,14,9,19,13,14,19,16,11,14,19
E 2 St & Avenue B,1,-3,-1,-4,-5,0,-6,-6,-3,-3,-1,9,-2,6,5,-1,4,-2,-8,-5,-8,-3,3,6,27,13,19,16,31,28,20,30,21,11,17,23,20,26,23,19,18,20,26,32,28,31,23,14
E 9 St & Avenue C,3,-1,-6,0,-1,-2,-4,12,7,-4,2,2,5,4,2,0,-2,3,0,-1,-5,-2,-2,-2,20,9,14,8,17,12,16,18,13,16,20,22,19,16,16,10,16,15,14,11,23,14,14,16
FDR Drive & E 35 St,-28,-14,-25,-19,-13,2,5,4,-4,-4,2,11,-1,10,3,-1,7,-1,-2,1,4,-2,-3,-4,40,36,43,29,31,21,19,20,20,24,20,23,33,24,21,13,25,17,26,21,30,20,23,8
E 24 St & Park Ave S,1,-4,-9,-6,-5,3,0,-10,0,9,3,2,-6,-9,4,-1,-6,-6,-7,2,2,6,6,3,31,26,17,18,29,21,30,42,24,23,29,28,32,27,20,26,30,32,23,16,28,22,26,24
W 24 St & 7 Ave,-1,5,2,4,5,5,-1,1,7,6,5,-3,5,14,3,-11,2,4,-7,-7,0,8,7,1,37,37,44,30,25,37,37,31,47,44,49,41,43,44,39,41,44,44,40,47,31,46,25,33
Adelphi St & Myrtle Ave,0,1,0,3,1,0,2,-3,6,3,3,3,5,2,3,1,3,6,0,2,-4,-2,-3,5,6,7,8,5,5,4,8,9,12,9,9,4,13,2,5,9,9,14,6,4,10,8,3,7
Lafayette Ave & St James Pl,-1,-1,-3,-4,-1,0,2,0,-3,0,-2,-1,-5,-1,-2,-3,0,-3,-1,-2,-1,-2,1,0,3,3,5,4,3,4,6,2,5,2,6,3,7,1,6,5,4,7,6,2,9,2,5,0
W 18 St & 6 Ave,1,-1,0,-12,2,0,-1,0,-8,13,10,-4,-5,-7,-5,3,-1,-11,-8,14,3,7,-6,-6,41,35,40,44,34,38,34,50,32,47,46,46,39,33,39,43,39,48,42,38,39,40,50,56
8 Ave & W 31 St,7,5,3,12,1,0,-3,-9,-4,16,-20,-5,-10,-5,-5,-8,-17,-7,-3,5,-13,-5,2,8,53,43,58,54,43,60,67,43,44,50,58,57,46,69,47,52,57,47,55,65,65,52,50,54
Broadway & W 36 St,0,2,-6,-2,-10,-2,5,2,1,-3,-7,-1,-3,7,-7,7,5,2,0,1,3,5,-1,9,16,10,14,22,16,17,13,14,13,13,23,15,11,19,9,15,19,16,24,11,13,17,11,15
W 39 St & 9 Ave,2,-2,6,6,4,5,0,13,1,10,9,12,14,1,5,1,5,3,-1,-4,1,3,-4,3,33,25,26,38,30,33,40,35,45,34,31,32,36,41,45,39,33,31,43,42,21,33,30,39
Clark St & Henry St,-1,1,0,-1,4,8,1,5,0,5,-2,3,7,2,2,-1,-3,-3,0,-4,-6,-7,-5,0,7,11,2,10,8,14,9,13,10,13,10,11,15,6,14,3,5,9,10,15,8,10,9,8
Clinton St & Joralemon St,-2,-2,1,-1,4,-3,-2,-3,0,4,-2,2,-1,1,3,-1,-1,-3,-2,2,0,-8,-1,0,2,6,1,3,4,3,4,5,6,10,4,6,7,5,6,7,5,5,4,4,4,8,9,6
E 55 St & 3 Ave,-4,3,-1,1,1,-11,1,-10,0,0,7,-2,7,1,3,-3,2,2,1,-1,1,4,2,5,18,19,11,19,13,19,19,16,16,10,13,18,11,16,13,9,16,14,20,9,15,16,18,17
Broadway & W 24 St,0,-3,-9,4,-8,-5,-7,-2,-3,1,-4,-10,6,-3,-1,6,-1,0,9,-7,2,-7,8,1,36,43,49,49,36,55,27,32,43,41,50,38,51,41,47,40,49,46,45,37,62,41,37,41
Lispenard St & Broadway,3,0,-11,-5,-4,-6,2,-4,-2,0,-1,1,-1,-5,-5,-1,-1,-1,0,1,2,0,-3,-1,15,18,17,13,10,14,22,22,16,26,21,16,13,23,19,23,20,15,20,24,22,18,17,16
Canal St & Rutgers St,-2,-6,10,-1,3,1,-5,5,-2,-5,6,6,-8,0,-2,-4,5,6,-2,2,-1,4,8,0,18,22,24,23,21,19,23,18,22,17,36,24,26,20,22,19,25,32,26,14,27,22,22,30
Graham Ave & Conselyea St,-5,-1,-3,2,-3,-2,1,-1,-1,-2,1,0,0,3,1,1,0,0,3,2,2,1,-2,2,5,5,5,6,5,6,5,5,9,6,5,8,0,11,11,5,16,8,7,8,4,6,4,8
W 64 St & West End Ave,-1,-2,0,6,6,3,-2,-1,-5,2,-1,3,-8,2,-1,-4,-2,-5,0,1,-5,-10,0,-5,12,9,14,8,11,13,13,11,15,12,13,11,20,12,13,12,10,11,14,13,17,18,14,16
Central Park S & 6 Ave,-12,-13,-6,2,2,8,5,3,0,-8,-8,-2,0,-2,-1,0,1,2,-6,-3,-1,-7,0,-16,39,31,28,28,20,31,30,29,32,42,21,45,45,36,35,32,32,35,45,38,33,35,35,38
Lawrence St & Willoughby St,4,1,-1,5,4,-6,3,0,2,2,4,-1,0,2,-8,9,-2,2,0,1,6,-3,6,-9,8,11,11,13,16,10,5,6,8,8,6,9,14,8,12,11,10,14,10,6,12,7,10,11
York St & Jay St,-4,-3,7,-3,5,3,-1,6,5,7,-4,-1,4,-3,2,-5,1,-3,-1,2,7,-1,1,-4,14,9,13,11,19,13,15,16,13,13,14,15,4,5,14,9,13,13,19,18,15,17,9,20
Division Ave & Marcy Ave,-1,-3,-1,-1,0,1,3,1,0,0,-1,0,0,0,-1,0,-1,-1,-1,1,1,-1,3,0,1,3,3,1,0,3,3,1,4,2,1,2,2,2,1,2,1,7,1,1,1,1,3,0
E 13 St & Avenue A,6,7,1,-4,-3,8,6,1,0,1,0,3,-3,0,5,1,-6,4,-8,2,10,-2,-9,7,32,24,19,21,15,27,21,25,18,25,20,17,27,28,13,18,20,26,24,31,30,23,17,25
W 37 St & 5 Ave,-5,-9,4,0,3,-9,2,-3,2,-9,-3,-11,-5,10,1,0,-1,8,0,-1,-7,-1,0,5,19,21,24,22,23,27,28,33,40,29,31,25,31,36,27,16,29,38,24,27,21,37,25,31
W 45 St & 6 Ave,0,-1,18,6,2,4,-8,-5,-2,-7,-4,-1,0,10,0,1,4,0,3,2,-5,1,-10,-8,14,19,26,30,34,26,21,21,16,18,22,21,26,26,20,23,28,30,25,22,20,9,30,24
Lexington Ave & E 24 St,0,7,-1,-8,-4,-8,-15,21,-4,7,7,1,8,2,11,7,7,11,1,-3,4,2,1,-5,44,55,38,50,52,35,53,57,50,61,51,43,50,56,53,41,39,46,55,53,34,54,53,37
MacDougal St & Washington Sq,-2,0,-3,-4,8,1,2,-7,-7,-6,-1,5,2,1,-4,6,6,-4,7,6,2,6,4,3,30,28,19,28,26,29,18,27,24,39,29,29,22,25,28,28,34,24,19,32,28,34,26,21
E 11 St & 1 Ave,6,-1,-1,-5,0,2,-4,7,-7,-1,-3,-3,-2,-9,1,-4,4,-5,-1,-11,-3,3,1,1,15,15,19,17,18,16,14,19,29,19,25,15,23,23,9,22,20,17,20,19,25,23,23,25
Queens Plaza North & Crescent St,0,2,-3,4,-2,0,-3,4,0,1,-2,2,4,-2,3,-2,1,5,0,4,-4,-1,4,3,10,4,3,8,6,2,7,6,2,4,9,8,7,6,7,6,8,5,2,10,11,3,8,5
