StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Grand Army Plaza & Central Park S,-3,0,4,1,0,4,5,2,7,-10,0,4,0,0,-5,-12,-8,3,-5,-8,12,-3,-2,-2,25,32,28,39,30,30,37,36,27,26,32,23,32,31,42,31,30,31,23,27,23,20,30,33
Pitt St & Stanton St,1,3,-4,1,-1,0,0,-4,-1,-1,0,-3,4,2,2,-2,-2,-5,0,-3,0,0,3,3,11,5,8,9,1,6,4,4,3,7,12,7,6,6,10,6,10,9,2,9,6,2,3,11
Broadway & Whipple St,-1,3,-1,1,0,1,0,1,1,-1,0,1,1,0,-1,-4,0,1,0,-3,-1,-1,0,1,1,5,5,3,0,1,0,3,3,1,2,1,1,0,1,6,0,3,0,3,1,1,1,1
1 Ave & E 30 St,6,-3,-2,-4,4,6,-2,10,3,-3,-9,-6,10,5,-8,-2,6,-4,-6,0,6,11,3,4,28,28,34,22,40,31,22,40,27,40,26,14,32,37,34,29,26,22,28,30,42,29,27,40
Stanton St & Mangin St,-2,-6,2,3,6,-4,5,-8,3,-6,-1,1,1,-1,2,-4,0,-1,-1,-1,2,3,3,3,12,6,6,7,14,7,14,9,9,12,11,7,9,7,12,11,10,7,9,5,8,8,7,7
E 5 St & Avenue C,2,3,-2,4,5,4,4,0,1,2,-3,-2,1,0,-2,-4,0,1,0,3,-2,6,-4,0,14,7,8,12,11,10,9,8,1,12,9,14,11,14,10,12,10,7,10,9,12,16,8,10
Broadway & W 60 St,-6,-2,10,0,10,-6,1,-5,-3,2,2,1,-2,-3,3,6,-7,-5,0,2,2,1,6,-5,30,22,26,23,27,36,23,29,30,34,34,35,38,39,35,36,19,31,27,44,32,21,32,17
E 47 St & Park Ave,8,5,-2,14,-6,2,0,2,3,4,-1,8,5,0,8,-4,-2,9,-10,4,2,5,2,1,46,43,38,42,44,42,34,42,49,32,43,46,53,40,38,36,38,59,45,40,48,47,40,41
Metropolitan Ave & Meeker Ave,-1,1,2,6,-2,1,2,-2,2,-1,0,3,-2,-1,-3,1,-3,2,0,-3,0,0,-1,-1,7,3,8,8,2,1,4,6,6,1,8,3,6,5,6,1,5,2,2,3,6,2,3,1
W 37 St & 10 Ave,-2,5,-8,5,4,-1,-10,8,-7,-7,-2,1,-2,-2,3,-3,4,-5,-8,1,-4,4,-9,6,18,23,28,26,26,29,27,26,31,31,17,30,16,22,24,25,31,29,22,20,26,28,31,24
Pike St & E Broadway,-1,-3,-1,-8,-1,4,-3,5,5,-5,1,2,6,0,2,2,-1,1,2,1,-1,5,5,8,15,13,9,14,13,18,17,21,13,19,17,14,8,10,10,12,13,11,12,13,17,15,17,14
W 27 St & 7 Ave,-12,0,-4,-7,-11,-5,6,0,0,3,-10,3,-12,-6,-1,-4,-9,-8,1,-9,6,1,7,-9,45,41,36,32,39,47,36,43,41,45,59,47,52,42,43,46,61,40,43,47,44,37,37,49
Carlton Ave & Park Ave,3,2,-1,0,-1,-3,1,-1,-2,-1,-1,-2,-1,-1,0,-1,2,-2,0,-1,1,0,-1,-1,3,2,1,2,1,5,1,3,2,5,5,3,5,7,4,1,2,2,2,5,1,4,1,1
Bond St & Schermerhorn St,1,3,-3,3,1,1,-1,-1,0,-1,0,1,0,-1,-1,-1,-2,-1,1,0,-1,5,-7,-3,7,5,5,3,7,5,1,5,4,1,6,1,4,3,5,3,4,5,3,4,1,5,7,3
West St & Chambers St,-1,-2,3,8,7,-7,4,6,7,-2,14,1,-15,0,-11,5,14,7,6,5,2,-8,-6,-5,41,52,48,50,45,40,60,61,54,59,40,60,45,48,57,57,57,55,40,48,59,57,63,55
Bus Slip & State St,-5,3,-3,-2,-6,-11,0,6,-3,4,0,2,1,6,4,8,6,6,2,1,-1,-6,-7,-1,19,13,20,12,14,19,21,26,13,20,12,12,11,16,12,14,6,14,14,15,19,12,13,11
Howard St & Centre St,3,3,5,4,-2,2,-5,-4,0,-7,-1,-11,-2,-2,3,-9,6,1,-8,-3,-6,-1,-4,2,27,17,24,24,17,20,25,20,18,27,17,21,24,14,24,22,23,16,18,27,24,21,22,16
W 22 St & 10 Ave,5,-6,6,13,4,1,-8,-8,10,-7,2,1,0,-11,-4,-4,-3,4,3,0,-7,2,7,4,40,38,36,40,26,35,40,34,33,39,30,39,28,41,34,37,39,34,45,40,31,28,33,34
W 34 St & 11 Ave,-2,0,9,5,-3,-4,5,-4,1,10,-5,-3,-6,4,3,-4,-12,-5,2,7,9,-2,9,-8,8,10,25,15,23,24,13,20,19,28,33,17,22,23,19,10,26,17,15,25,17,29,23,28
W 47 St & 10 Ave,4,0,-3,3,-3,7,-1,3,0,-1,-5,1,-5,2,12,-1,-8,6,-7,7,0,0,-8,4,22,14,19,21,11,15,13,23,28,27,13,23,27,30,28,11,22,16,19,29,22,18,20,14
6 Ave & Canal St,0,2,3,-1,6,3,-2,-5,-4,1,6,4,-6,3,-4,1,-4,-2,0,9,-4,0,-9,0,11,10,16,3,16,12,18,10,10,15,22,12,16,13,14,17,16,14,12,17,18,12,31,16
W 63 St & Broadway,-3,3,-9,-7,-6,-7,-3,5,1,-1,-2,-7,0,-1,-9,3,-2,-3,3,1,-3,1,-7,2,17,31,27,17,20,16,22,18,21,19,20,19,18,15,25,11,20,15,13,15,23,25,23,22
E 58 St & 3 Ave,-2,-2,4,-3,-3,-7,-4,-1,-1,-1,-3,5,0,1,1,4,-4,4,-9,11,-5,-8,0,2,16,20,26,29,15,17,20,25,25,15,13,13,20,17,14,16,24,22,18,23,16,21,20,20
E 55 St & 2 Ave,-9,6,1,-2,-4,4,-2,0,-7,1,1,1,2,1,-4,0,7,-2,5,-1,4,-2,-12,-6,13,18,15,14,21,23,20,10,19,23,15,19,18,11,14,20,19,28,15,15,14,18,18,28
E 81 St & Park Ave,7,6,0,-1,4,-4,-5,-4,5,6,2,2,0,0,-6,0,3,3,6,5,-3,-3,6,3,11,10,14,7,10,12,5,14,15,12,8,13,12,10,10,10,11,15,10,17,11,13,18,15
Amsterdam Ave & W 73 St,-7,3,-5,0,2,-3,2,6,0,4,-8,3,5,1,-3,7,-4,-3,-2,0,3,6,-1,0,26,17,17,26,8,15,18,16,23,28,15,17,22,17,21,13,17,17,20,16,11,16,18,25
John St & William St,-4,-2,4,-2,-1,2,-2,5,10,0,-5,0,0,2,2,-7,3,1,-1,-2,2,-7,3,-5,18,20,18,10,12,18,16,11,14,12,21,18,20,19,14,19,11,13,19,14,15,19,15,14
Maiden Ln & Pearl St,-6,3,-2,1,2,1,-5,-4,1,1,3,2,3,-5,-8,1,4,-3,5,3,6,4,3,-2,8,19,16,15,10,7,15,20,9,11,9,12,17,9,10,13,18,13,11,9,14,6,11,12
Warren St & Church St,7,-2,-4,5,-2,-1,-5,6,4,0,-2,4,1,4,2,2,-3,4,-9,1,2,-2,-7,-4,13,12,12,15,12,9,15,20,14,16,14,10,11,16,16,10,25,16,19,15,14,16,13,12
Fulton St & Washington Ave,-1,-2,0,-4,1,4,-3,1,-5,5,3,3,-1,-2,1,-3,-2,-1,3,-1,2,3,0,0,5,4,2,6,5,4,9,3,7,9,11,5,5,8,9,5,4,1,7,7,6,7,6,2
Gallatin Pl & Livingston St,-3,-2,2,1,-2,1,-1,3,3,0,1,3,1,-1,-1,1,0,-1,1,0,-4,-2,0,2,3,2,4,3,4,3,3,5,3,2,5,5,3,5,3,5,4,1,3,2,6,2,4,2
E 48 St & 3 Ave,-2,-1,3,-3,1,0,7,-1,-3,-7,-4,3,1,5,-2,-2,1,1,8,4,-1,4,8,-3,10,13,19,13,23,24,13,17,12,19,18,24,21,15,20,14,21,21,20,21,19,26,29,19
Greenwich St & Warren St,-5,-5,-2,10,0,1,0,12,-8,-11,-3,-8,8,3,6,5,6,1,1,-4,12,-2,-4,-6,25,27,34,30,30,33,36,36,40,36,31,28,42,29,34,44,28,25,39,32,30,36,28,28
E 82 St & 2 Ave,-5,-2,2,-4,0,-4,0,-3,-2,-2,-1,0,-3,4,-3,-1,0,-2,1,-1,-2,2,-2,4,5,8,8,8,8,4,12,7,12,6,5,6,11,14,5,7,8,8,7,11,10,12,8,10
E 23 St & 1 Ave,-8,-3,-14,4,-2,5,-2,-3,4,3,2,-4,-4,-14,6,-3,-2,-3,0,2,11,-11,1,8,30,27,41,34,26,23,34,23,24,35,34,44,24,34,26,31,26,35,28,38,29,35,27,37
Lafayette Ave & Classon Ave,1,1,1,1,-1,0,-2,0,-1,0,0,1,3,1,2,1,-1,-2,0,-2,-1,-3,1,0,1,1,1,3,3,4,2,3,3,6,6,5,5,1,6,1,1,2,4,6,3,3,7,6
Monroe St & Bedford Ave,0,-3,3,-2,-2,1,6,2,1,-2,-1,0,0,-1,1,3,5,0,3,1,1,-2,-2,1,2,3,3,2,6,1,6,6,3,6,7,2,2,3,3,3,5,4,3,3,5,6,4,3
W 82 St & Central Park West,-8,2,-2,-1,-2,-3,-1,-5,4,-1,5,4,4,2,2,3,0,3,-1,-1,0,8,6,1,13,6,10,5,4,9,3,15,8,5,7,8,10,10,4,5,6,7,13,9,8,19,8,17
S 4 St & Wythe Ave,-3,2,-3,0,-1,3,-2,-1,-1,-1,-5,3,1,0,2,0,3,-3,-3,-3,4,1,-1,0,9,6,7,6,1,5,11,7,5,5,5,9,7,10,2,6,7,6,7,7,8,7,9,10
Front St & Maiden Ln,-2,2,-1,-3,1,-5,-6,-1,-3,-9,-1,-2,-5,1,5,2,6,2,1,1,1,-3,1,-4,10,12,9,13,16,13,14,15,15,21,17,14,17,15,19,18,16,12,12,13,5,15,11,14
DeKalb Ave & Vanderbilt Ave,3,3,-2,0,5,0,-2,-1,1,-1,2,-1,-2,-3,-1,0,2,2,0,3,6,1,-5,-2,5,7,2,2,7,6,2,3,1,5,2,4,6,3,9,8,4,4,2,5,10,5,9,6
Broadway & Battery Pl,2,13,-5,-2,-14,-2,-7,-6,-2,-1,-10,3,-4,-1,-4,5,8,0,9,-2,0,0,-8,4,14,23,19,22,18,23,13,18,20,30,26,27,20,17,28,17,18,24,24,28,18,22,25,18
Broadway & W 39 St,1,-10,-5,9,1,6,3,4,-8,-12,3,5,-4,-2,-8,11,-8,1,-2,-4,6,-4,-6,-2,29,22,25,23,27,28,33,26,24,26,17,36,24,18,26,27,24,35,18,14,22,14,26,20
South St & Whitehall St,-2,-1,6,-1,0,6,-12,1,-1,0,-1,1,-4,2,4,2,-3,-2,-9,2,-7,4,4,-4,18,11,10,17,18,20,24,13,11,18,11,13,20,10,12,17,25,15,14,14,19,12,6,18
Laight St & Hudson St,-2,1,1,-1,1,0,-1,1,-2,3,-2,-2,-4,8,0,4,5,2,-2,-4,0,1,2,0,8,5,9,7,7,8,7,9,6,7,6,11,12,8,6,10,15,6,6,6,6,7,14,6
E 56 St & Madison Ave,1,-4,-3,-1,-1,6,-2,-4,-4,-3,-8,-6,2,0,-1,-6,8,3,-4,-9,-2,-9,-9,2,17,12,23,13,13,12,14,22,14,17,16,14,18,12,19,26,14,19,22,23,18,19,25,22
W 43 St & 6 Ave,4,12,0,-3,0,2,2,6,5,2,-3,9,-8,-7,8,0,4,0,-4,-8,4,-2,6,-4,20,18,24,17,30,26,16,28,17,30,27,29,22,27,20,23,32,22,31,34,22,22,34,34
Cumberland St & Lafayette Ave,-2,4,-3,0,0,4,2,0,1,-2,-3,2,-3,-1,-3,-1,3,0,-2,1,-2,-2,1,1,2,6,7,6,4,6,4,6,3,4,3,5,7,3,3,5,5,4,6,2,2,4,5,3
E 39 St & 3 Ave,-3,-3,8,-3,0,1,-10,3,0,-2,-1,0,6,-7,-8,4,5,-1,6,11,-4,4,-2,-1,29,31,38,25,26,31,32,33,24,36,27,30,33,29,30,22,27,29,26,37,28,28,25,29
11 Ave & W 27 St,9,4,-8,-1,3,-14,2,4,0,0,-9,-1,-4,3,-3,-2,3,-11,8,-5,1,9,-3,5,25,28,30,33,29,31,34,40,20,26,35,31,30,27,27,44,47,28,30,31,27,36,35,37
12 Ave & W 40 St,1,-20,9,-6,5,8,9,5,-1,-13,2,5,2,12,0,10,-1,6,7,10,0,3,7,5,49,39,35,40,38,33,32,35,49,49,51,33,33,46,40,34,27,30,37,30,36,39,33,31
E 81 St & 3 Ave,1,-3,-4,0,-3,-2,-6,1,-2,-3,-1,1,0,2,-1,-2,5,0,1,1,7,1,2,1,9,9,6,4,9,10,8,15,8,11,7,9,12,14,9,8,9,6,11,9,13,7,10,13
W 54 St & 9 Ave,-4,-5,-2,-2,-4,4,2,0,-6,-2,4,0,-1,1,-6,6,-5,-3,4,0,4,5,-8,2,14,16,14,10,14,26,14,18,14,22,24,26,20,15,16,14,15,27,18,16,16,13,31,22
W 25 St & 6 Ave,-13,2,4,1,5,3,-9,4,6,1,-1,-5,-10,1,-9,1,-1,-10,7,-3,-2,-6,-2,3,33,36,46,35,39,31,35,36,36,43,29,35,34,33,39,37,31,38,35,23,36,28,40,43
E 60 St & York Ave,-1,2,0,-3,-5,0,-5,-4,2,0,0,1,-8,-6,-1,-6,1,3,-2,-3,-1,-1,-2,0,11,10,2,10,9,8,10,6,10,10,6,7,10,8,11,8,9,11,6,10,9,3,6,8
E 37 St & Lexington Ave,2,0,3,-3,0,1,-3,-1,7,2,4,5,-7,-2,-2,-4,0,-7,-7,-2,-5,-2,-6,-6,10,14,13,11,10,13,15,13,23,14,16,19,13,18,12,14,12,15,19,6,17,10,12,10
Henry St & Grand St,-4,2,4,6,0,-5,3,-1,3,0,2,-2,1,1,4,-1,5,-5,-2,0,-1,-1,-2,0,14,12,10,14,22,9,11,11,11,16,10,16,15,19,14,11,13,7,16,10,15,15,24,10
Pearl St & Hanover Square,7,4,-2,8,7,2,1,-4,4,-5,5,-2,-5,0,0,0,8,-1,8,3,-3,14,1,3,21,18,20,24,25,12,23,16,14,21,21,18,23,18,22,18,24,23,24,21,15,24,23,37
Pershing Square South,-5,-6,8,9,12,10,3,12,8,13,-10,4,2,-1,-12,-5,-8,-17,0,-12,-8,7,-4,-2,52,50,66,47,48,57,50,40,50,58,58,52,52,53,51,45,60,49,42,40,56,49,48,52
Front St & Gold St,-2,1,-1,2,4,3,2,3,2,0,-1,1,3,1,-2,2,3,1,2,2,0,1,3,-2,8,9,1,6,8,5,4,5,2,4,3,3,3,9,4,2,3,3,4,4,6,5,7,4
Norman Ave & Leonard St,1,1,0,3,-1,-7,2,-1,-2,-1,0,-3,0,4,-1,-1,2,2,-1,2,-2,2,1,-3,1,1,4,3,3,11,2,1,2,1,4,3,0,4,9,5,6,4,7,4,6,2,7,3
Berry St & N 8 St,1,4,-6,4,-1,3,2,1,3,-1,-1,1,-1,-2,-1,-3,2,-1,-1,-4,1,1,0,2,7,10,8,8,13,7,8,9,11,5,11,5,7,12,9,9,14,9,7,10,11,3,10,12
E 84 St & 1 Ave,4,-1,2,-3,-2,-1,-1,-4,-5,-4,5,-1,1,2,-3,-3,1,-9,1,-7,1,3,-3,-6,10,9,6,9,12,11,7,8,13,10,9,9,11,8,9,11,9,13,15,13,13,5,13,12
Reade St & Broadway,-2,5,-4,-3,4,-5,7,1,-4,2,5,4,2,2,-4,0,-1,3,-3,1,-2,3,7,8,20,15,18,15,16,17,19,19,16,20,21,15,26,22,14,18,13,17,13,13,16,23,11,17
Barrow St & Hudson St,-4,5,-2,2,-12,10,-3,6,-7,9,5,-5,7,-4,-3,7,1,5,15,11,6,6,-2,5,28,39,34,34,44,52,41,32,55,33,37,47,37,46,31,43,43,58,53,39,45,51,50,61
E 11 St & Broadway,-1,3,0,0,-1,-2,-1,2,2,-5,-1,-1,0,-1,-1,-2,1,1,0,3,3,-2,0,4,3,3,4,0,3,6,5,4,4,5,7,1,2,3,5,4,5,1,6,3,5,4,2,4
E 52 St & 2 Ave,8,3,4,4,-2,-6,-3,-6,2,2,-9,-5,-4,2,-2,-2,-7,3,2,-1,5,5,5,-3,18,11,16,22,20,20,17,22,18,14,25,19,22,13,16,16,13,25,10,19,17,15,17,9
Washington Pl & 6 Ave,7,-3,1,0,-6,1,1,6,6,-4,8,-1,4,2,-2,2,1,0,-1,5,7,-6,3,-3,17,8,19,14,18,19,17,18,22,12,19,15,18,10,10,14,23,18,17,33,23,16,23,17
Johnson St & Gold St,4,3,2,0,1,0,-1,0,4,-2,3,0,-1,5,3,-1,0,1,0,-4,1,1,2,-3,8,7,4,6,1,2,5,2,6,6,5,10,11,5,5,3,4,8,2,4,3,5,4,11
Liberty St & Broadway,-1,-1,6,-3,3,-9,6,-2,-11,-1,-3,-4,7,0,-4,-6,1,2,-8,-2,4,1,-7,4,17,13,20,23,11,23,18,28,20,9,14,18,16,10,22,24,17,16,26,19,18,20,17,18
Pike St & Monroe St,1,1,3,-1,-3,-1,0,1,1,1,1,2,-1,-3,-2,-1,3,-1,0,0,0,2,-4,2,11,3,7,5,11,7,4,3,5,5,5,4,5,7,4,11,9,5,9,2,3,4,8,10
South St & Gouverneur Ln,6,-3,1,3,7,2,3,3,0,1,9,-3,4,6,-4,1,0,-7,-4,5,0,4,2,7,23,15,15,23,15,16,15,15,16,11,13,11,10,10,16,26,28,17,10,27,22,16,18,19
Grand St & Havemeyer St,0,1,-3,-2,-2,-7,2,-1,5,1,1,0,0,1,-5,-1,-3,1,-1,1,4,-2,0,-1,4,9,14,4,10,9,16,3,5,5,1,4,5,1,7,7,7,5,7,7,12,5,7,13
Riverside Dr & W 82 St,3,3,-1,-2,-1,1,-3,-3,0,-6,1,-5,-6,0,-3,2,4,-1,-2,1,0,-2,2,7,11,15,10,12,19,7,9,13,17,14,9,13,15,12,11,8,12,21,10,16,15,16,18,19
St James Pl & Pearl St,0,-4,-3,2,-2,2,3,0,0,-3,1,-1,4,-1,0,-3,0,1,3,-2,1,-1,2,-1,10,11,9,6,4,4,5,6,6,7,7,5,6,5,8,5,6,1,3,6,6,9,8,5
Hanson Pl & St Felix St,5,-1,-4,-10,-2,-2,0,-5,0,2,-2,7,2,7,4,1,5,0,1,1,6,0,6,1,9,13,8,16,16,14,10,11,10,10,14,9,14,11,14,9,15,12,7,9,18,6,10,7
Carlton Ave & Flushing Ave,-1,2,-2,-1,-1,-5,-1,1,1,1,2,-2,2,1,-1,-5,0,-2,-2,-2,-2,0,1,3,3,10,6,7,5,7,1,9,1,5,10,6,8,5,5,5,4,6,4,6,4,6,5,7
E 85 St & 3 Ave,-2,1,0,-4,1,2,2,-5,-2,0,3,6,-2,3,-5,-1,-15,1,-1,5,5,1,7,2,10,11,14,10,15,20,20,17,18,18,13,16,16,9,19,13,23,15,15,19,15,13,23,12
S Portland Ave & Hanson Pl,1,1,-1,-3,0,-4,-2,-3,0,-1,-1,1,4,1,0,-3,0,0,0,-2,2,0,1,2,1,3,3,3,4,6,2,5,0,3,3,3,4,3,4,7,2,4,4,4,8,4,3,4
Harrison St & Hudson St,6,4,0,3,-5,6,1,-3,-4,-5,1,5,-1,5,1,3,-2,2,2,3,0,-3,1,2,16,14,8,15,13,14,13,13,12,15,17,9,17,9,12,15,10,16,12,9,6,11,13,8
Water - Whitehall Plaza,-1,-4,1,0,2,-1,2,-3,-1,6,-2,0,3,-1,0,0,-1,-6,-3,10,1,9,-3,-2,9,12,7,16,10,17,14,15,13,12,8,6,17,5,8,6,11,8,11,16,11,15,13,7
Willoughby St & Fleet St,-3,-3,1,0,0,-4,-2,3,9,-1,-2,-1,-5,-1,0,-2,0,0,2,0,0,0,-3,-2,7,5,3,10,8,8,6,11,15,7,10,5,11,13,4,4,2,4,8,4,7,4,5,4
Cherry St,-1,1,-3,0,-2,2,-5,-1,2,7,-4,-2,5,-1,-2,1,-4,0,-2,-4,-2,3,2,2,7,3,5,4,8,7,9,3,4,10,6,2,9,5,2,7,14,10,8,10,4,5,4,4
Bank St & Washington St,0,0,-2,3,-4,1,3,-3,-4,-3,-4,0,4,5,-1,-5,1,-1,0,1,-5,11,0,-4,12,14,10,15,16,14,17,17,12,13,14,12,26,21,17,17,15,21,20,17,11,23,22,23
Clinton Ave & Flushing Ave,2,2,-1,-3,0,-1,0,-6,0,-2,0,-2,0,0,-1,-2,1,0,3,6,-1,-1,1,3,8,2,3,5,2,3,4,6,8,2,6,2,2,2,1,4,3,8,5,10,3,1,5,3
5 Ave & E 73 St,8,1,1,-7,-8,-7,1,-2,4,-3,3,0,-4,0,1,-1,-2,4,-1,-1,-1,0,3,3,20,23,21,23,21,20,13,25,17,13,20,19,19,27,15,22,16,20,28,23,23,22,20,26
Leonard St & Grand St,1,-2,-1,3,2,-4,0,0,-2,2,1,-3,0,-1,-2,0,0,2,0,1,-1,-2,1,0,3,4,5,3,2,4,0,2,4,6,5,3,2,3,4,0,6,4,2,3,3,2,1,2
Hope St & Union Ave,3,1,-2,1,-1,-1,-1,-1,2,-1,3,2,-2,3,1,0,-1,-3,0,-1,1,1,1,5,5,4,4,5,3,1,3,5,2,3,5,4,4,7,5,2,3,3,3,3,3,1,5,7
Fulton St & Utica Ave,0,1,0,-1,-2,0,3,0,-4,-1,-1,1,1,2,3,5,0,-1,0,-1,-2,2,2,0,2,3,2,3,2,0,3,0,4,4,2,4,1,2,3,5,2,1,2,1,3,2,2,6
Old Slip & Front St,6,-1,-4,12,-4,-1,-3,8,2,-5,-7,-2,3,5,-4,6,-4,-1,4,3,0,0,-2,-3,20,17,12,16,23,19,13,18,15,15,21,12,23,9,20,12,17,22,14,15,21,12,14,11
Broad St & Bridge St,3,1,3,-1,5,0,-1,0,0,2,8,-1,-1,5,0,1,4,8,6,6,5,4,13,6,11,11,12,5,7,16,9,10,18,12,18,15,9,15,12,15,14,12,14,8,19,12,15,14
Washington Park,2,-2,1,1,-1,-3,0,1,0,-1,-1,-3,-2,1,-1,-3,0,2,-5,-2,1,-2,1,2,10,4,3,3,3,3,2,1,4,3,3,5,6,3,9,5,4,2,9,2,5,4,7,6
